"station_in","station_out","value","shortest_paths"
"三林东","云山路",5,13
"三林东","云锦路",23,4
"三林东","五洲大道",1,19
"三林东","五莲路",6,16
"三林东","五角场",28,18
"三林东","交通大学",146,8
"三林东","人民广场",268,11
"三林东","伊犁路",89,11
"三林东","佘山",17,17
"三林东","兆丰路",6,26
"三林东","光明路",9,27
"三林东","共富新村",10,23
"三林东","共康路",14,20
"三林东","凌兆新村",9,3
"三林东","凌空路",1,13
"三林东","创新中路",1,10
"三林东","剑川路",1,19
"三林东","北新泾",29,13
"三林东","北洋泾路",3,11
"三林东","华夏东路",1,11
"三林东","华夏中路",3,4
"三林东","华夏西路",2,5
"三林东","华宁路",3,22
"三林东","南京东路",98,11
"三林东","南京西路",149,11
"三林东","南浦大桥",18,8
"三林东","南翔",44,19
"三林东","博兴路",6,15
"三林东","友谊西路",1,25
"三林东","友谊路",6,26
"三林东","合川路",58,11
"三林东","同济大学",10,16
"三林东","后滩",3,7
"三林东","周浦东",22,4
"三林东","呼兰路",8,22
"三林东","唐镇",10,9
"三林东","商城路",25,9
"三林东","嘉善路",53,9
"三林东","嘉定北",39,24
"三林东","嘉定新城",14,21
"三林东","嘉定西",13,23
"三林东","四川北路",37,13
"三林东","四平路",21,15
"三林东","国权路",13,17
"三林东","国际客运中心",15,13
"三林东","场中路",3,18
"三林东","塘桥",10,9
"三林东","外环路",6,13
"三林东","外高桥保税区北",4,23
"三林东","外高桥保税区南",4,21
"三林东","大世界",157,10
"三林东","大华三路",5,15
"三林东","大场镇",6,17
"三林东","大木桥路",9,9
"三林东","大柏树",26,17
"三林东","大渡河路",27,12
"三林东","大连路",9,11
"三林东","天潼路",50,12
"三林东","威宁路",33,12
"三林东","娄山关路",100,11
"三林东","嫩江路",7,22
"三林东","宁国路",3,13
"三林东","安亭",10,25
"三林东","宋园路",32,10
"三林东","宜山路",110,8
"三林东","宝安公路",2,24
"三林东","宝山路",3,14
"三林东","富锦路",10,26
"三林东","小南门",27,9
"三林东","岚皋路",7,13
"三林东","川沙",5,12
"三林东","巨峰路",3,17
"三林东","市光路",16,23
"三林东","常熟路",48,9
"三林东","广兰路",41,8
"三林东","延吉中路",12,19
"三林东","延安西路",31,10
"三林东","延长路",30,16
"三林东","张华浜",3,22
"三林东","张江高科",53,6
"三林东","彭浦新村",12,19
"三林东","徐家汇",393,7
"三林东","徐泾东",58,17
"三林东","御桥",115,2
"三林东","德平路",4,12
"三林东","惠南",73,9
"三林东","惠南东",5,10
"三林东","成山路",30,4
"三林东","打浦桥",93,10
"三林东","提篮桥",3,12
"三林东","新场",34,7
"三林东","新天地",18,10
"三林东","新村路",13,14
"三林东","新闸路",15,12
"三林东","昌吉东路",1,23
"三林东","昌平路",16,11
"三林东","星中路",14,12
"三林东","春申路",2,15
"三林东","曲阜路",51,12
"三林东","曲阳路",28,16
"三林东","曹杨路",120,11
"三林东","李子园路",46,15
"三林东","杨思",17,3
"三林东","杨树浦路",9,10
"三林东","杨高中路",9,9
"三林东","松江体育中心",6,21
"三林东","松江大学城",18,19
"三林东","松江新城",6,20
"三林东","枫桥路",45,12
"三林东","桂林路",113,9
"三林东","桃浦新村",19,18
"三林东","武威路",3,17
"三林东","武宁路",19,11
"三林东","殷高东路",2,21
"三林东","殷高西路",11,19
"三林东","民生路",2,10
"三林东","水产路",7,24
"三林东","水城路",33,12
"三林东","汉中路",44,13
"三林东","江月路",42,6
"三林东","江杨北路",1,28
"三林东","江浦公园",2,12
"三林东","江浦路",20,17
"三林东","江湾体育场",14,19
"三林东","江湾镇",14,18
"三林东","江苏路",272,9
"三林东","汶水路",26,18
"三林东","沈杜公路",59,8
"三林东","泗泾",14,16
"三林东","洞泾",13,18
"三林东","洲海路",1,20
"三林东","浦三路",53,1
"三林东","浦东国际机场",6,16
"三林东","浦东大道",6,9
"三林东","浦江镇",31,5
"三林东","浦电路",19,9
"三林东","海伦路",15,13
"三林东","淞滨路",8,23
"三林东","淞虹路",102,14
"三林东","源深体育中心",14,9
"三林东","滴水湖",11,13
"三林东","漕宝路",44,9
"三林东","漕河泾开发区",188,10
"三林东","灵岩南路",6,3
"三林东","爱国路",1,15
"三林东","白银路",7,22
"三林东","真北路",38,13
"三林东","真如",24,13
"三林东","祁连山南路",8,14
"三林东","祁连山路",40,16
"三林东","紫藤路",2,15
"三林东","罗山路",90,3
"三林东","美兰湖",6,27
"三林东","翔殷路",14,21
"三林东","耀华路",31,5
"三林东","老西门",73,9
"三林东","联航路",25,7
